1024				7.59696960449				31.00
2048				8.73398780823				33.00
3072				9.43899154663				35.00
4096				9.29093360901				38.00
5120				11.1401081085				40.00
6144				9.75584983826				43.00
7168				10.3771686554				45.00
8192				10.8880996704				48.00
9216				13.4470462799				50.00
10240				11.7168426514				53.00
11264				11.4469528198				55.00
12288				12.4430656433				58.00
13312				14.5599842072				60.00
14336				12.5970840454				63.00
15360				13.6768817902				65.00
16384				13.6060714722				68.00
17408				13.7441158295				70.00
18432				14.2569541931				73.00
19456				14.4820213318				75.00
20480				15.6400203705				78.00
21504				15.1200294495				80.00
22528				15.8939361572				83.00
23552				16.340970993				85.00
24576				16.2200927734				88.00
25600				16.4041519165				90.00
26624				18.7361240387				92.00
27648				17.1699523926				95.00
28672				18.3069705963				97.00
29696				18.3138847351				100.00
30720				18.285036087				102.00
31744				23.4751701355				105.00
32768				19.6208953857				107.00
33792				19.3500518799				110.00
34816				19.9179649353				112.00
35840				21.0690498352				115.00
36864				20.7059383392				117.00
37888				22.8300094604				119.00
38912				21.4018821716				122.00
39936				21.61693573				    124.00
40960				24.3029594421				127.00
41984				25.2039432526				129.00
43008				23.1139659882				132.00
44032				23.9851474762				134.00
45056				25.0551700592				137.00
46080				23.6468315125				139.00
47104				23.6599445343				141.00
48128				26.134967804				144.00
49152				25.8209705353				146.00
50176				27.8680324554				149.00
51200				25.3582000732				151.00
52224				28.0940532684				154.00
53248				25.9289741516				156.00
54272				26.1998176575				158.00
55296				26.0100364685				161.00
56320				27.3191928864				163.00
57344				28.4111499786				166.00
58368				27.5459289551				168.00
59392				29.1831493378				171.00
60416				29.0288925171				173.00
61440				29.1659832001				175.00
62464				28.8779735565				178.00
63488				29.3371677399				180.00
64512				29.5178890228				183.00
65536				33.5781574249				185.00
66560				31.3789844513				187.00
67584				31.1880111694				190.00
68608				31.7029953003				192.00
69632				36.1089706421				195.00
70656				32.763004303				197.00
71680				32.1600437164				199.00
72704				32.3119163513				202.00
73728				33.586025238				204.00
74752				33.6599349976				207.00
75776				34.6608161926				209.00
76800				34.9550247192				211.00
77824				34.6670150757				214.00
78848				35.0060462952				216.00
79872				34.3890190125				219.00
80896				35.7799530029				221.00
81920				36.5350246429				223.00
82944				35.0339412689				226.00
83968				35.5980396271				228.00
84992				38.6250019073				231.00
86016				36.9091033936				233.00
87040				37.1389389038				236.00
88064				37.7740859985				238.00
89088				37.7609729767				240.00
90112				38.2709503174				243.00
91136				40.0280952454				245.00
92160				38.75207901				    248.00
93184				39.9599075317				250.00
94208				39.6978855133				252.00
95232				43.3239936829			  	255.00
96256				40.4291152954			  	257.00
97280				43.1020259857			  	260.00
98304				43.9538955688			  	262.00
99328				41.7540073395			  	264.00
100352				41.9268608093				267.00
101376				42.0799255371				269.00
102400				42.8140163422				272.00
103424				44.2950725555				274.00
104448				44.5520877838				276.00
105472				44.0099239349				279.00
106496				45.567035675				281.00
107520				49.9651432037				284.00
108544				45.5181598663				286.00
109568				49.7560501099				288.00
110592				46.1981296539				291.00
111616				47.7509498596				293.00
112640				50.1232147217				296.00
113664				53.8070201874				298.00
